actor,condition,program,boolean_rows,operands_covered,operands_missing,operands_both_correct,consequence_correct,consequence_correct_given_operands_correct,consequence_consistent_with_direct,consistent_and_correct,invariant_rows,new_invariant_errors,new_invariant_errors_native_correct,new_invariant_errors_operands_correct,changed_rows,changed_errors
gemma,CANONICAL_CURRENT_s1,ABC,512,512,0,512,468,468,468,468,288,3,3,3,224,41
gemma,CANONICAL_CURRENT_s1,CBA,512,512,0,512,468,468,468,468,288,3,3,3,224,41
gemma,CANONICAL_CURRENT_s1,AB_cross,512,256,256,254,236,234,235,235,256,2,2,2,256,26
qwen,INV_SPARSE_CONTINUE_s0,single,256,128,128,124,120,116,118,118,128,7,7,2,128,13
qwen,INV_SPARSE_CONTINUE_s0,AB,256,128,128,124,103,99,101,101,144,23,22,22,112,10
qwen,INV_SPARSE_CONTINUE_s0,BA,256,128,128,124,103,99,101,101,144,23,22,22,112,10
qwen,INV_SPARSE_CONTINUE_s0,ABC,256,256,0,256,192,192,192,192,160,54,36,54,96,6
qwen,INV_SPARSE_CONTINUE_s0,CBA,256,256,0,256,192,192,192,192,160,54,36,54,96,6
qwen,INV_SPARSE_CONTINUE_s0,AB_cross,256,128,128,120,121,115,121,119,128,5,5,0,128,13
qwen,INV_SPARSE_CONTINUE_s1,single,256,128,128,118,121,112,118,117,128,3,3,1,128,10
qwen,INV_SPARSE_CONTINUE_s1,AB,256,128,128,124,111,108,111,110,144,13,11,12,112,9
qwen,INV_SPARSE_CONTINUE_s1,BA,256,128,128,124,111,108,111,110,144,13,11,12,112,9
qwen,INV_SPARSE_CONTINUE_s1,ABC,256,256,0,230,206,186,205,199,160,41,25,37,96,5
qwen,INV_SPARSE_CONTINUE_s1,CBA,256,256,0,230,206,186,205,199,160,41,25,37,96,5
qwen,INV_SPARSE_CONTINUE_s1,AB_cross,256,128,128,128,121,121,121,121,128,7,7,3,128,20
qwen,INV_COMPLETE_SINGLE_s0,single,256,128,128,124,124,120,122,122,128,0,0,0,128,8
qwen,INV_COMPLETE_SINGLE_s0,AB,256,128,128,106,123,104,119,116,144,0,0,0,112,11
qwen,INV_COMPLETE_SINGLE_s0,BA,256,128,128,106,123,104,119,116,144,0,0,0,112,11
qwen,INV_COMPLETE_SINGLE_s0,ABC,256,256,0,214,235,202,230,224,160,9,5,4,96,11
qwen,INV_COMPLETE_SINGLE_s0,CBA,256,256,0,214,235,202,230,224,160,9,5,4,96,11
qwen,INV_COMPLETE_SINGLE_s0,AB_cross,256,128,128,118,118,111,119,116,128,3,3,2,128,14
qwen,INV_COMPLETE_SINGLE_s1,single,256,128,128,124,122,120,124,122,128,2,2,0,128,7
qwen,INV_COMPLETE_SINGLE_s1,AB,256,128,128,118,125,116,122,121,144,4,3,2,112,3
qwen,INV_COMPLETE_SINGLE_s1,BA,256,128,128,118,125,116,122,121,144,4,3,2,112,3
qwen,INV_COMPLETE_SINGLE_s1,ABC,256,256,0,234,242,224,241,237,160,9,4,6,96,5
qwen,INV_COMPLETE_SINGLE_s1,CBA,256,256,0,234,242,224,241,237,160,9,4,6,96,5
qwen,INV_COMPLETE_SINGLE_s1,AB_cross,256,128,128,120,115,110,117,114,128,9,9,5,128,11
qwen,FREE_SPARSE_CONTINUE_s0,single,256,128,128,122,115,112,118,115,128,12,12,2,128,20
qwen,FREE_SPARSE_CONTINUE_s0,AB,256,128,128,108,102,89,106,99,144,24,22,16,112,19
qwen,FREE_SPARSE_CONTINUE_s0,BA,256,128,128,108,102,89,106,99,144,24,22,16,112,19
qwen,FREE_SPARSE_CONTINUE_s0,ABC,256,256,0,210,202,171,206,192,160,36,28,30,96,13
qwen,FREE_SPARSE_CONTINUE_s0,CBA,256,256,0,210,202,171,206,192,160,36,28,30,96,13
qwen,FREE_SPARSE_CONTINUE_s0,AB_cross,256,128,128,110,111,98,112,107,128,16,16,5,128,22
qwen,FREE_SPARSE_CONTINUE_s1,single,256,128,128,122,121,116,120,119,128,0,0,0,128,16
qwen,FREE_SPARSE_CONTINUE_s1,AB,256,128,128,122,117,112,116,115,144,8,8,7,112,9
qwen,FREE_SPARSE_CONTINUE_s1,BA,256,128,128,122,117,112,116,115,144,8,8,7,112,9
qwen,FREE_SPARSE_CONTINUE_s1,ABC,256,256,0,230,222,203,219,214,160,22,9,19,96,11
qwen,FREE_SPARSE_CONTINUE_s1,CBA,256,256,0,230,222,203,219,214,160,22,9,19,96,11
qwen,FREE_SPARSE_CONTINUE_s1,AB_cross,256,128,128,116,118,109,118,115,128,5,5,2,128,16
qwen,FREE_COMPLETE_SINGLE_s0,single,256,128,128,126,123,122,124,123,128,0,0,0,128,16
qwen,FREE_COMPLETE_SINGLE_s0,AB,256,128,128,122,126,120,123,123,144,2,0,2,112,14
qwen,FREE_COMPLETE_SINGLE_s0,BA,256,128,128,122,126,120,123,123,144,2,0,2,112,14
qwen,FREE_COMPLETE_SINGLE_s0,ABC,256,256,0,248,234,229,236,233,160,18,6,17,96,3
qwen,FREE_COMPLETE_SINGLE_s0,CBA,256,256,0,248,234,229,236,233,160,18,6,17,96,3
qwen,FREE_COMPLETE_SINGLE_s0,AB_cross,256,128,128,118,106,101,111,106,128,11,11,9,128,24
qwen,FREE_COMPLETE_SINGLE_s1,single,256,128,128,126,122,120,121,121,128,2,2,0,128,8
qwen,FREE_COMPLETE_SINGLE_s1,AB,256,128,128,128,120,120,120,120,144,3,3,2,112,7
qwen,FREE_COMPLETE_SINGLE_s1,BA,256,128,128,128,120,120,120,120,144,3,3,2,112,7
qwen,FREE_COMPLETE_SINGLE_s1,ABC,256,256,0,256,232,232,232,232,160,9,8,9,96,15
qwen,FREE_COMPLETE_SINGLE_s1,CBA,256,256,0,256,232,232,232,232,160,9,8,9,96,15
qwen,FREE_COMPLETE_SINGLE_s1,AB_cross,256,128,128,112,111,102,117,110,128,8,8,5,128,15
qwen,FROZEN_V3_INVARIANT_SET_s0,single,256,128,128,124,120,116,118,118,128,7,7,2,128,13
qwen,FROZEN_V3_INVARIANT_SET_s0,AB,256,128,128,124,103,99,101,101,144,23,22,22,112,10
qwen,FROZEN_V3_INVARIANT_SET_s0,BA,256,128,128,124,103,99,101,101,144,23,22,22,112,10
qwen,FROZEN_V3_INVARIANT_SET_s0,ABC,256,256,0,256,192,192,192,192,160,54,36,54,96,6
qwen,FROZEN_V3_INVARIANT_SET_s0,CBA,256,256,0,256,192,192,192,192,160,54,36,54,96,6
qwen,FROZEN_V3_INVARIANT_SET_s0,AB_cross,256,128,128,120,121,115,121,119,128,5,5,0,128,13
qwen,FROZEN_V3_INVARIANT_SET_s1,single,256,128,128,118,121,112,118,117,128,3,3,1,128,10
qwen,FROZEN_V3_INVARIANT_SET_s1,AB,256,128,128,124,111,108,111,110,144,13,11,12,112,9
qwen,FROZEN_V3_INVARIANT_SET_s1,BA,256,128,128,124,111,108,111,110,144,13,11,12,112,9
qwen,FROZEN_V3_INVARIANT_SET_s1,ABC,256,256,0,230,206,186,205,199,160,41,25,37,96,5
qwen,FROZEN_V3_INVARIANT_SET_s1,CBA,256,256,0,230,206,186,205,199,160,41,25,37,96,5
qwen,FROZEN_V3_INVARIANT_SET_s1,AB_cross,256,128,128,128,121,121,121,121,128,7,7,3,128,20
qwen,FROZEN_V3_FREE_OVERWRITE_s0,single,256,128,128,126,117,116,118,117,128,16,16,7,128,14
qwen,FROZEN_V3_FREE_OVERWRITE_s0,AB,256,128,128,96,93,77,109,93,144,44,44,19,112,14
qwen,FROZEN_V3_FREE_OVERWRITE_s0,BA,256,128,128,96,93,77,109,93,144,44,44,19,112,14
qwen,FROZEN_V3_FREE_OVERWRITE_s0,ABC,256,256,0,222,185,168,202,185,160,69,51,52,96,0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,CBA,256,256,0,222,185,168,202,185,160,69,51,52,96,0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,AB_cross,256,128,128,118,106,101,111,106,128,18,18,7,128,27
qwen,FROZEN_V3_FREE_OVERWRITE_s1,single,256,128,128,128,121,121,121,121,128,6,6,1,128,18
qwen,FROZEN_V3_FREE_OVERWRITE_s1,AB,256,128,128,124,106,104,108,106,144,22,22,18,112,12
qwen,FROZEN_V3_FREE_OVERWRITE_s1,BA,256,128,128,124,106,104,108,106,144,22,22,18,112,12
qwen,FROZEN_V3_FREE_OVERWRITE_s1,ABC,256,256,0,242,207,198,208,204,160,41,24,38,96,6
qwen,FROZEN_V3_FREE_OVERWRITE_s1,CBA,256,256,0,242,207,198,208,204,160,41,24,38,96,6
qwen,FROZEN_V3_FREE_OVERWRITE_s1,AB_cross,256,128,128,108,112,98,112,107,128,11,11,2,128,25
qwen,CANONICAL_CURRENT_s0,single,256,128,128,124,124,120,122,122,128,0,0,0,128,8
qwen,CANONICAL_CURRENT_s0,AB,256,128,128,106,123,104,119,116,144,0,0,0,112,11
qwen,CANONICAL_CURRENT_s0,BA,256,128,128,106,123,104,119,116,144,0,0,0,112,11
qwen,CANONICAL_CURRENT_s0,ABC,256,256,0,214,235,202,230,224,160,9,5,4,96,11
qwen,CANONICAL_CURRENT_s0,CBA,256,256,0,214,235,202,230,224,160,9,5,4,96,11
qwen,CANONICAL_CURRENT_s0,AB_cross,256,128,128,118,118,111,119,116,128,3,3,2,128,14
qwen,CANONICAL_CURRENT_s1,single,256,128,128,124,122,120,124,122,128,2,2,0,128,7
qwen,CANONICAL_CURRENT_s1,AB,256,128,128,118,125,116,122,121,144,4,3,2,112,3
qwen,CANONICAL_CURRENT_s1,BA,256,128,128,118,125,116,122,121,144,4,3,2,112,3
qwen,CANONICAL_CURRENT_s1,ABC,256,256,0,234,242,224,241,237,160,9,4,6,96,5
qwen,CANONICAL_CURRENT_s1,CBA,256,256,0,234,242,224,241,237,160,9,4,6,96,5
qwen,CANONICAL_CURRENT_s1,AB_cross,256,128,128,120,115,110,117,114,128,9,9,5,128,11
