actor,contrast,seed,effect,lower,upper,scenes,discordant,level
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|multi_program,s0,-0.03776041666666666,-0.13151041666666666,0.05989583333333335,64,47,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|multi_program,s1,0.10286458333333331,0.03385416666666667,0.17838541666666663,64,48,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|multi_program,avg,0.03255208333333332,-0.02799479166666668,0.09700520833333334,64,59,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|coverage_endpoint,s0,-0.078125,-0.203125,0.046875,64,29,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|coverage_endpoint,s1,-0.03125,-0.1796875,0.1171875,64,35,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|coverage_endpoint,avg,-0.0546875,-0.15625,0.04296875,64,49,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|repeat_restore,s0,0.003125000000000001,-0.1,0.10312500000000001,64,26,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|repeat_restore,s1,0.040624999999999994,-0.10625000000000001,0.18125,64,43,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|repeat_restore,avg,0.021875000000000012,-0.07187500000000002,0.11485351562500057,64,46,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|two_three_edit_harm,s0,0.003417968749999999,-0.022137451171875072,0.02962239583333333,64,42,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|two_three_edit_harm,s1,0.02783203125,-0.015950520833333336,0.07023213704427089,64,50,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|two_three_edit_harm,avg,0.015625,-0.011597188313802102,0.04256184895833333,64,55,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|multi_program,s0,-0.026041666666666657,-0.11328124999999999,0.0625,64,46,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|multi_program,s1,-3.469446951953614e-18,-0.10546875,0.10416666666666669,64,49,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FREE_SPARSE_CONTINUE|multi_program,avg,-0.013020833333333329,-0.0888712565104168,0.060546875000000014,64,58,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|coverage_endpoint,s0,0.0,0.0,0.0,64,0,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|coverage_endpoint,s1,-0.0703125,-0.1953125,0.0546875,64,28,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|coverage_endpoint,avg,-0.03515625,-0.09765625,0.02734375,64,28,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|repeat_restore,s0,0.0,0.0,0.0,64,0,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|repeat_restore,s1,-0.018750000000000003,-0.15000000000000002,0.11875,64,42,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|repeat_restore,avg,-0.009375,-0.075,0.059375,64,42,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|two_three_edit_harm,s0,0.0,0.0,0.0,64,0,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|two_three_edit_harm,s1,0.06819661458333333,0.03515625,0.10205078124999999,64,41,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|two_three_edit_harm,avg,0.034098307291666664,0.017578125,0.051025390625,64,41,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|multi_program,s0,0.0,0.0,0.0,64,0,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|multi_program,s1,-0.033854166666666664,-0.12630208333333334,0.06119791666666667,64,53,0.9875
gemma,INV_SPARSE_CONTINUE_minus_FROZEN_V3_INVARIANT_SET|multi_program,avg,-0.016927083333333325,-0.06315104166666667,0.030598958333333346,64,53,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|coverage_endpoint,s0,0.03125,-0.1171875,0.1796875,64,40,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|coverage_endpoint,s1,0.1484375,0.0,0.296875,64,35,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|coverage_endpoint,avg,0.08984375,-0.04296875,0.21875,64,50,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|repeat_restore,s0,0.021874999999999995,-0.09687500000000002,0.14375,64,26,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|repeat_restore,s1,0.1125,0.009375000000000001,0.22812499999999997,64,28,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|repeat_restore,avg,0.06718749999999998,-0.009374999999999996,0.14297851562500058,64,40,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|two_three_edit_harm,s0,-0.008463541666666666,-0.0390625,0.0244140625,64,42,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|two_three_edit_harm,s1,0.022135416666666664,-0.01066182454427087,0.05786234537760422,64,38,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|two_three_edit_harm,avg,0.006835937499999998,-0.022218831380208404,0.038534037272135446,64,49,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|multi_program,s0,0.033854166666666664,-0.05859375000000001,0.12760416666666669,64,54,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|multi_program,s1,0.12239583333333331,0.036458333333333315,0.21354166666666663,64,50,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FROZEN_V3_INVARIANT_SET|multi_program,avg,0.07812499999999997,0.011067708333333329,0.14453124999999997,64,62,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|coverage_endpoint,s0,0.0,0.0,0.0,64,0,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|coverage_endpoint,s1,0.078125,-0.1015625,0.25,64,37,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|coverage_endpoint,avg,0.0390625,-0.05078125,0.125,64,37,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|repeat_restore,s0,0.0,0.0,0.0,64,0,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|repeat_restore,s1,0.20937499999999998,0.09375,0.32499999999999996,64,39,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|repeat_restore,avg,0.10468749999999999,0.04687500000000001,0.16249999999999998,64,39,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|two_three_edit_harm,s0,0.0,0.0,0.0,64,0,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|two_three_edit_harm,s1,0.0011393229166666685,-0.037517293294270865,0.04402770996093756,64,46,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|two_three_edit_harm,avg,0.0005696614583333352,-0.018758646647135432,0.02201385498046878,64,46,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|multi_program,s0,0.0,0.0,0.0,64,0,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|multi_program,s1,0.16927083333333337,0.05989583333333332,0.2825520833333333,64,56,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_FROZEN_V3_FREE_OVERWRITE|multi_program,avg,0.08463541666666666,0.029947916666666664,0.14127604166666666,64,56,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|coverage_endpoint,s0,0.046875,-0.0859375,0.1796875,64,28,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|coverage_endpoint,s1,0.203125,0.046875,0.359375,64,36,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|coverage_endpoint,avg,0.125,0.01171875,0.234375,64,44,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|repeat_restore,s0,0.043750000000000004,-0.040624999999999994,0.12658203125000114,64,21,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|repeat_restore,s1,0.23125,0.125,0.33595703125000115,64,40,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|repeat_restore,avg,0.1375,0.065625,0.20625,64,44,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|two_three_edit_harm,s0,-0.025553385416666668,-0.053059895833333336,-0.000651041666666667,64,28,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|two_three_edit_harm,s1,-0.025390625,-0.0517578125,0.002278645833333336,64,42,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|two_three_edit_harm,avg,-0.02547200520833333,-0.0474858601888021,-0.004150390624999998,64,47,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|multi_program,s0,0.045572916666666664,-0.01562500000000001,0.10546875,64,40,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|multi_program,s1,0.22265625,0.12760416666666666,0.3183675130208338,64,54,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FROZEN_V3_FREE_OVERWRITE|multi_program,avg,0.13411458333333334,0.07388916015624986,0.19596354166666669,64,57,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|coverage_endpoint,s0,-0.09375,-0.25,0.05864257812500284,64,42,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|coverage_endpoint,s1,0.0,0.0,0.0,64,0,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|coverage_endpoint,avg,-0.046875,-0.125,0.02932128906250142,64,42,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|repeat_restore,s0,-0.021875000000000002,-0.125,0.0875,64,25,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|repeat_restore,s1,0.003125000000000002,-0.009374999999999998,0.018750000000000003,64,3,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|repeat_restore,avg,-0.009375000000000001,-0.0625,0.0453125,64,27,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|two_three_edit_harm,s0,0.0205078125,-0.005779012044270868,0.04809672037760423,64,30,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|two_three_edit_harm,s1,0.0,0.0,0.0,64,0,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|two_three_edit_harm,avg,0.01025390625,-0.0028895060221354337,0.024048360188802114,64,30,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|multi_program,s0,-0.04296875,-0.13281250000000003,0.04947916666666667,64,48,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|multi_program,s1,0.0013020833333333333,-0.003906250000000003,0.0078125,64,3,0.9875
gemma,INV_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|multi_program,avg,-0.020833333333333336,-0.06608479817708349,0.026692708333333315,64,48,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|coverage_endpoint,s0,0.0,0.0,0.0,64,0,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|coverage_endpoint,s1,-0.0625,-0.2109375,0.078125,64,34,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|coverage_endpoint,avg,-0.03125,-0.10546875,0.0390625,64,34,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|repeat_restore,s0,-0.003125000000000001,-0.05,0.046875,64,7,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|repeat_restore,s1,-0.14687499999999998,-0.2484570312500007,-0.05312499999999999,64,25,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|repeat_restore,avg,-0.07500000000000001,-0.1328125,-0.025000000000000005,64,26,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|two_three_edit_harm,s0,0.0,0.0,0.0,64,0,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|two_three_edit_harm,s1,-0.008300781249999998,-0.037760416666666664,0.01961364746093756,64,32,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|two_three_edit_harm,avg,-0.004150390624999998,-0.018880208333333332,0.009806823730468782,64,32,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|multi_program,s0,-0.005208333333333335,-0.024739583333333343,0.015625,64,10,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|multi_program,s1,-0.10156249999999999,-0.1764404296875003,-0.03255208333333333,64,48,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_CANONICAL_CURRENT|multi_program,avg,-0.05338541666666666,-0.09505208333333331,-0.016276041666666668,64,51,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|coverage_endpoint,s0,-0.125,-0.2734375,0.0234375,64,39,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|coverage_endpoint,s1,-0.21875,-0.3515625,-0.078125,64,41,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|coverage_endpoint,avg,-0.171875,-0.28125,-0.05859375,64,49,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|repeat_restore,s0,-0.04375,-0.15000000000000002,0.05937500000000001,64,25,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|repeat_restore,s1,-0.128125,-0.246875,-0.009375,64,31,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|repeat_restore,avg,-0.08593749999999999,-0.16874999999999998,-0.0038964843749994247,64,39,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|two_three_edit_harm,s0,0.028971354166666664,0.0006510416666666665,0.05835062662760423,64,36,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|two_three_edit_harm,s1,0.046061197916666664,0.0026041666666666665,0.09057718912760422,64,48,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|two_three_edit_harm,avg,0.03751627604166667,0.009195963541666666,0.06644744873046877,64,54,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|multi_program,s0,-0.07682291666666666,-0.16276041666666666,0.010416666666666671,64,54,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|multi_program,s1,-0.15494791666666666,-0.24218749999999997,-0.07552083333333331,64,58,0.9875
gemma,INV_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|multi_program,avg,-0.11588541666666666,-0.18197021484375012,-0.05143229166666666,64,58,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|coverage_endpoint,s0,-0.046875,-0.1796875,0.0859375,64,28,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|coverage_endpoint,s1,-0.1875,-0.328125,-0.0546875,64,27,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|coverage_endpoint,avg,-0.1171875,-0.21875,-0.01755371093749858,64,45,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|repeat_restore,s0,-0.046875,-0.12187500000000001,0.034374999999999996,64,20,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|repeat_restore,s1,-0.16875,-0.284375,-0.059375000000000004,64,28,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|repeat_restore,avg,-0.1078125,-0.1640625,-0.05156249999999999,64,35,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|two_three_edit_harm,s0,0.025553385416666668,0.000651041666666667,0.053059895833333336,64,28,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|two_three_edit_harm,s1,0.018229166666666668,-0.009765624999999998,0.05013020833333333,64,33,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|two_three_edit_harm,avg,0.021891276041666668,0.004434712727864568,0.03971455891927089,64,47,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|multi_program,s0,-0.05078125,-0.11328125,0.013680013020833808,64,42,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|multi_program,s1,-0.15494791666666666,-0.24088541666666666,-0.07421875,64,52,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_CANONICAL_CURRENT|multi_program,avg,-0.10286458333333333,-0.14908854166666669,-0.0546875,64,57,0.9875
gemma,INV_SPARSE_CONTINUE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s0,0.09375,-0.0625,0.25,64,45,0.9875
gemma,INV_SPARSE_CONTINUE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s1,-0.0546875,-0.171875,0.0625,64,28,0.9875
gemma,INV_SPARSE_CONTINUE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s0,0.0625,-0.125,0.25,64,52,0.9875
gemma,INV_SPARSE_CONTINUE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s1,-0.0859375,-0.2265625,0.046875,64,35,0.9875
gemma,INV_COMPLETE_SINGLE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s0,0.125,-0.027392578125001732,0.2734375,64,29,0.9875
gemma,INV_COMPLETE_SINGLE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s1,0.1640625,0.0234375,0.296875,64,31,0.9875
gemma,INV_COMPLETE_SINGLE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s0,0.09375,-0.0625,0.234375,64,34,0.9875
gemma,INV_COMPLETE_SINGLE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s1,0.1328125,0.0,0.2734375,64,35,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s0,0.171875,-0.0078125,0.34770507812500284,64,45,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s1,-0.0234375,-0.1796875,0.1328125,64,29,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s0,0.140625,-0.078125,0.3515625,64,55,0.9875
gemma,FREE_SPARSE_CONTINUE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s1,-0.0546875,-0.203125,0.09375,64,33,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s0,0.21875,0.0703125,0.359375,64,35,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s1,0.1015625,-0.06645507812500173,0.265625,64,43,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s0,0.1875,0.0078125,0.359375,64,46,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s1,0.0703125,-0.0859375,0.21875,64,42,0.9875
gemma,FROZEN_V3_INVARIANT_SET_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s0,0.09375,-0.0625,0.25,64,45,0.9875
gemma,FROZEN_V3_INVARIANT_SET_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s1,0.015625,-0.125,0.15625,64,32,0.9875
gemma,FROZEN_V3_INVARIANT_SET_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s0,0.0625,-0.125,0.25,64,52,0.9875
gemma,FROZEN_V3_INVARIANT_SET_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s1,-0.015625,-0.203125,0.1640625,64,41,0.9875
gemma,FROZEN_V3_FREE_OVERWRITE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s0,0.171875,-0.0078125,0.34770507812500284,64,45,0.9875
gemma,FROZEN_V3_FREE_OVERWRITE_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s1,-0.1015625,-0.2734375,0.0703125,64,36,0.9875
gemma,FROZEN_V3_FREE_OVERWRITE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s0,0.140625,-0.078125,0.3515625,64,55,0.9875
gemma,FROZEN_V3_FREE_OVERWRITE_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s1,-0.1328125,-0.3125,0.05083007812500284,64,47,0.9875
gemma,CANONICAL_CURRENT_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s0,0.21875,0.0703125,0.359375,64,35,0.9875
gemma,CANONICAL_CURRENT_minus_NATURAL_FINAL_WORLD|coverage_endpoint,s1,0.1640625,0.0234375,0.296875,64,31,0.9875
gemma,CANONICAL_CURRENT_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s0,0.1875,0.0078125,0.359375,64,46,0.9875
gemma,CANONICAL_CURRENT_minus_TEXT_CORRECTION_SEQ|coverage_endpoint,s1,0.1328125,0.0,0.2734375,64,35,0.9875
qwen,INV_COMPLETE_SINGLE_minus_INV_SPARSE_CONTINUE,s0,0.3125,0.109375,0.515625,32,17,0.9875
qwen,INV_COMPLETE_SINGLE_minus_INV_SPARSE_CONTINUE,s1,0.25,0.09375,0.421875,32,14,0.9875
qwen,INV_COMPLETE_SINGLE_minus_INV_SPARSE_CONTINUE,avg,0.28125,0.1328125,0.4375,32,20,0.9875
qwen,FREE_COMPLETE_SINGLE_minus_FREE_SPARSE_CONTINUE,s0,0.234375,0.09375,0.390625,32,14,0.9875
qwen,FREE_COMPLETE_SINGLE_minus_FREE_SPARSE_CONTINUE,s1,0.265625,0.078125,0.453125,32,18,0.9875
qwen,FREE_COMPLETE_SINGLE_minus_FREE_SPARSE_CONTINUE,avg,0.25,0.1171875,0.38676757812500284,32,19,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|coverage_endpoint,s0,0.09375,-0.09375,0.28125,32,18,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|coverage_endpoint,s1,0.015625,-0.15625,0.1875,32,16,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|coverage_endpoint,avg,0.0546875,-0.078125,0.171875,32,14,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|repeat_restore,s0,0.3,0.1625,0.45625,32,17,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|repeat_restore,s1,0.08125,-0.02500000000000001,0.2,32,15,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|repeat_restore,avg,0.190625,0.09375,0.29374999999999996,32,22,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|two_three_edit_harm,s0,-0.029622395833333336,-0.05533854166666667,-0.005369059244791548,32,19,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|two_three_edit_harm,s1,-0.013671874999999997,-0.04622395833333333,0.020998128255208456,32,21,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|two_three_edit_harm,avg,-0.021647135416666664,-0.04182942708333333,-0.00024312337239577338,32,27,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|multi_program,s0,0.19010416666666669,0.07031249999999997,0.3177083333333333,32,26,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|multi_program,s1,0.05729166666666666,-0.031250000000000014,0.15364583333333331,32,22,0.9875
qwen,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|multi_program,avg,0.12369791666666666,0.040364583333333315,0.203125,32,28,0.9875
